,0,1,2
233,white,1,"
adj.白色的，纯洁的；无色的，透明的；白衣的；白种人的n.白色；白种人；空白；白色颜料vt.（书写，印刷等）留出空白处；使变白色，刷白；漂白复数：whites第三人称单数：whites过去式：whited过去分词：whited现在分词：whiting比较级：whiter最高级：whitest易混淆的单词：White
"
234,hygiene,1,"
n.卫生，卫生学；保健法
"
235,personal,1,"
adj.个人的，私人的；身体的；亲自的；人身攻击的n.（报刊上的）人事栏，分类人事广告版；人称代名词；关于个人的简讯复数：personals
"
236,calm,1,"
adj.镇定的；平静的；（海洋，天气等）安静的，平静的；（人）从容不迫的vt.&amp; vi.（使）平静，（使）镇定；（使）镇静n.平静；镇定；安定；无风vt.使安静；使冷静；使镇定；使（疼痛等）减轻vi.安静下来，平静下来，镇静下来复数：calms第三人称单数：calms过去式：calmed过去分词：calmed现在分词：calming比较级：calmer最高级：calmest易混淆的单词：CaLMCALM
"
237,music,1,"
n.音乐；乐曲；乐谱；乐队易混淆的单词：MusicMUSIC
"
240,brings,1,"
v.带来( bring的第三人称单数 )；促使；提供；使朝（某方向或按某方式）移动易混淆的单词：Brings
"
244,clue,1,"
n.线索；提示；（帮助警方破案的）线索；（纵横填字谜、游戏或问题的）提示词语vt.&lt;非正&gt;为…提供最新情况（消息等）复数：clues易混淆的单词：CLUEClue
"
245,properly,1,"
adv.适当地；恰当地；正确地；完全，非常比较级：more properly最高级：most properly
"
246,conference,1,"
n.会议；讨论；（正式）讨论会；[工会、工党用语]（每年的）大会vi.举行或参加（系列）会议复数：conferences
"
247,bother,1,"
vt.烦扰，打扰；使…不安，使…恼怒；使迷惑；烦恼vi.操心；麻烦；烦恼n.麻烦，操心；累赘；烦扰，吵闹；讨厌的人复数：bothers第三人称单数：bothers过去式：bothered过去分词：bothered现在分词：bothering
"
251,interactions,1,"
n.一起活动( interaction的名词复数 )；合作；互相影响；互动
"
252,attended,1,"
v.参加( attend的过去式和过去分词 )；注意，听；照顾；[常用被动语态]（作为结果、情况）伴随
"
254,body,1,"
n.身体；尸体；团体；物体vt.赋予形体复数：bodies第三人称单数：bodies过去式：bodied过去分词：bodied现在分词：bodying易混淆的单词：Body
"
255,email,1,"
n.电子邮件vt.给…发电子邮件易混淆的单词：Email
"
256,adorable,1,"
adj.值得崇拜的，可敬重的；可爱的，讨人喜欢的
"
257,gentle,1,"
adj.温和的；文雅的；高尚的vt.使温和；使驯服n.蛆；饵第三人称单数：gentles过去式：gentled过去分词：gentled现在分词：gentling比较级：gentler最高级：gentlest易混淆的单词：Gentle
"
259,attire,1,"
n.服装，衣服vt.使穿上衣服，使穿上盛装第三人称单数：attires过去式：attired过去分词：attired现在分词：attiring
"
260,goes,1,"
v.进行（go的第三人称单数）；去；离开；进展n.（牌戏、下棋等中）轮到的顺序（go的复数形式）易混淆的单词：GoesGOES
"
261,dress,1,"
n.衣服；装饰；连衣裙；礼服vt.&amp; vi.给…穿衣；穿着；打扮adj.连衣裙的；须穿礼服的；适合于正式场合的；办公时（或半正式场合）穿戴的vt.给…穿衣；给…提供衣服；装潢，装饰或装点；排成列vi.穿衣；排列整齐复数：dresses第三人称单数：dresses过去式：dressed过去分词：dressed现在分词：dressing易混淆的单词：DRESS
"
264,affairs,1,"
n.公共事务，政治事务；事件( affair的名词复数 )；事务；个人的事；发生的事情
"
265,listen,1,"
vi.倾听；留心听；听信；（让对方注意）听着n.听，倾听第三人称单数：listens过去式：listened过去分词：listened现在分词：listening易混淆的单词：LISTENListen
"
266,driving,1,"
n.操纵，驾驶adj.推进的；强劲的；雨、雪等猛烈的；倾泻而下的v.强迫( drive的现在分词)；驱使；驱赶；消除
"
268,seconds,1,"
n.助手( second的名词复数 )；第二名；秒；第二份食物v.支持( second的第三人称单数 )；临时调派；附议；赞成某提案易混淆的单词：Seconds
"
270,nails,1,"
n.钉子( nail的名词复数 )；钉状物；指甲；趾甲v.钉住( nail的第三人称单数 )；抓住；证明…不属实；揭露易混淆的单词：NAILS
"
272,experience,1,"
n.经验，体验；经历，阅历vt.亲身参与，亲身经历；感受；发现复数：experiences第三人称单数：experiences过去式：experienced过去分词：experienced现在分词：experiencing
"
273,studied,1,"
adj.有计划的；故意的；深思熟虑的；精通的v.学习，研究( study的过去式和过去分词 )；想出；详细地检查；背诵（台词等）
"
274,shoes,1,"
n.鞋子；鞋状物；蹄铁；（轮胎的）外胎；鞋( shoe的名词复数 )；蹄铁；煞车；金属箍v.为…钉蹄铁( shoe的第三人称单数 )
"
275,language,1,"
n.语言，语言文字；表达能力；言语，语风，文风，文体；专门用语，术语复数：languages
"
278,cards,1,"
n.卡（ card的名词复数 ）；纸牌；贺卡；信用卡易混淆的单词：CARDSCards
"
280,attention,1,"
n.注意，注意力；照料，关怀；殷勤int.[口令]立正复数：attentions
"
281,post,1,"
n.邮件；邮政；柱，桩，杆；岗位vt.张贴；宣布；设岗；邮寄vi.快速行进adj.有关赛跑（或赛马，赛狗）起点标志的adv.〈外〉在后；用急件[驿马]；赶紧地，火速地复数：posts第三人称单数：posts过去式：posted过去分词：posted现在分词：posting易混淆的单词：PostPOST
"
282,percent,1,"
n.百分比，百分数；百分之一adj.百分之…的，每一百中有…的；百分之…支付利息的adv.以百分之…地，每一百中有…地复数：percent
"
283,focused,1,"
adj.聚焦的v.（使）集中， （使）聚集( focus的过去式和过去分词 )；调整（镜头，眼睛）焦点[焦距]以便看清；（光、声等的）焦点；集中（光束于）
"
285,heart,1,None
288,appropriate,1,"
adj.适当的；恰当的；合适的v.盗用；侵吞；拨（专款等） 第三人称单数：appropriates过去式：appropriated过去分词：appropriated现在分词：appropriating
"
